,ID,HM_enlarge_time
0,sub001,1.0
1,sub002,1.0
2,sub003,1.0
3,sub004,0.0
4,sub005,1.0
5,sub006,0.0
6,sub007,0.0
7,sub008,1.0
8,sub009,1.0
9,sub010,0.0
10,sub011,0.0
11,sub012,1.0
12,sub013,1.0
13,sub014,0.0
14,sub015,0.0
15,sub016,0.0
16,sub017,1.0
17,sub018,1.0
18,sub019,1.0
19,sub020,0.0
20,sub021,0.0
21,sub022,0.0
22,sub023,1.0
23,sub024,0.0
24,sub025,1.0
25,sub026,1.0
26,sub027,1.0
27,sub028,1.0
28,sub029,0.0
29,sub030,0.0
30,sub031,0.0
31,sub032,0.0
32,sub033,1.0
33,sub034,0.0
34,sub035,1.0
35,sub036,1.0
36,sub037,1.0
37,sub038,1.0
38,sub039,1.0
39,sub040,1.0
40,sub041,0.0
41,sub042,0.0
42,sub043,1.0
43,sub044,0.0
44,sub045,0.0
45,sub046,0.0
46,sub047,1.0
47,sub048,1.0
48,sub049,0.0
49,sub050,0.0
50,sub051,0.0
51,sub052,0.0
52,sub053,0.0
53,sub054,1.0
54,sub055,1.0
55,sub056,0.0
56,sub057,1.0
57,sub058,1.0
58,sub059,0.0
59,sub060,1.0
60,sub061,1.0
61,sub062,0.0
62,sub063,1.0
63,sub064,0.0
64,sub065,0.0
65,sub066,0.0
66,sub067,0.0
67,sub068,0.0
68,sub069,0.0
69,sub070,1.0
70,sub071,1.0
71,sub072,1.0
72,sub073,0.0
73,sub074,0.0
74,sub075,0.0
75,sub076,1.0
76,sub077,1.0
77,sub078,0.0
78,sub079,1.0
79,sub080,1.0
80,sub081,1.0
81,sub082,0.0
82,sub083,0.0
83,sub084,1.0
84,sub085,1.0
85,sub086,0.0
86,sub087,1.0
87,sub088,1.0
88,sub089,0.0
89,sub090,0.0
90,sub091,1.0
91,sub092,1.0
92,sub093,0.0
93,sub094,0.0
94,sub095,1.0
95,sub096,0.0
96,sub097,1.0
97,sub098,1.0
98,sub099,1.0
99,sub100,1.0
